Region,Year,territory_code,population,log_population,area_km2,density,log_density,gdp,log_gdp,gdp_per_capita,log_gdp_per_capita,tourism_arrivals,log_tourism_arrivals,tourism_nightspent,log_tourism_nightspent,HPI_average,log_HPI_average,Observation_Disp_Income,log_Observation_Disp_Income,Observation_Average_Monthly_Exp,log_Observation_Average_Monthly_Exp,Observation_CPI_housing,log_Observation_CPI_housing,Observation_Income_Percentage,foreign_pc_avg,crime_avg,coastal_dummy,z_tourism,z_crime,AmenityIndex,Post
Basilicata,2017,ITF5,566405,13.2470646490063,10073.1105,56.2294040157705,4.0294398232042,12410.8,9.42632234026275,21911.5297357898,9.99476824922073,454802,13.0276174383862,1658621,14.3214970921997,725.585317460317,6.58697866356356,7552.7,8.92966039420779,233,5.4510384535657,102.3,4.62790967295758,11.1,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2018,ITF5,562968,13.2409780671406,10073.1105,55.8881985857298,4.02335324133847,12712.9,9.45037250495521,22581.9229512157,10.0249049957789,487877,13.0978186038852,1637111,14.3084436610184,724.59253901196,6.58560948170904,7719.5,8.95150487408198,243,5.49306144334055,104,4.64439089914137,11.4,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2019,ITF5,558587,13.2331656597555,10073.1105,55.4532783096145,4.01554083395343,12504,9.43380387210131,22385.0537158939,10.0161487703101,484325,13.0905114479551,1640736,14.3106554796163,724.494047619048,6.58547354588026,7811.5,8.96335228585196,259,5.55682806169954,104.9,4.65300751540225,11.8,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2020,ITF5,553254,13.2235724878917,10073.1105,54.9238489938138,4.00594766208958,11304.4,9.33294730944248,20432.5680428881,9.92488537951508,231559,12.3525899796485,922993,13.7353769294909,685.222459883556,6.52974354449355,7835.5,8.96641996896327,240,5.48063892334199,100.2,4.60716818865076,11.8,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2021,ITF5,545130,13.2087795773112,10073.1768,54.1169891905402,3.99114816965122,12450.9,9.42954818843675,22840.2399427659,10.0362791690898,333834,12.7183991424224,1263765,14.0496059186826,660.695825049702,6.49329356003555,8125.6,9.00277485062529,252,5.52942908751142,109.1,4.69226489283902,11.3,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2022,ITF5,541168,13.2014850456666,10073.1768,53.7236673935873,3.98385363800665,12583.4,9.44013376400827,23252.2987316323,10.0541592763059,444459,13.0046130912117,1568518,14.2656417824794,663.141079120515,6.49698775656988,8534.1,9.05182518151384,268,5.59098698051086,145.3,4.97880057057624,11.1,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2023,ITF5,537577,13.1948272845378,10073.1768,53.3671760829215,3.97719587687779,12651.7,9.44554687247827,23534.6750326,10.0662301459048,475623,13.0723808025958,1647590,14.3148241720913,664.473161033797,6.49899448762173,9019.5,9.10714417914773,273,5.60947179518496,137.7,4.92507740573461,10.8,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Basilicata,2024,ITF5,533233,13.1867137558442,10073.1768,52.9359317906542,3.96908234818418,NA,NA,NA,NA,488620,13.0993403702468,1684347,14.3368885095647,674.386182902585,6.51380291849227,NA,NA,246,5.50533153593236,133.3,4.89260222718466,9.2,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,1
Calabria,2011,ITF6,1972049,14.4945836617062,15221.6147,129.555834835315,4.86411194524757,37064.8,10.5204230111502,18795.0705078829,9.84134990740826,1136190,13.943191117799,3479590,15.0624250287178,669.942989864865,6.50719261901074,24722.2,10.1154569043754,226,5.42053499927229,NA,NA,11.3,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
Calabria,2012,ITF6,1968536,14.4928006772353,15221.6148,129.325043752914,4.86232895420705,35562.3,10.4790413669513,18065.3541515116,9.80175124768028,1128053,13.9360036957519,3400617,15.0394674437108,666.013569883522,6.5013100455333,23889.3,10.0811859389278,213,5.36129216570943,NA,NA,10.6,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
